"State","District","Women.Age.Group.15.To.49.Years.Who.Are.Anaemic","Women.Suffering.From.High.Blood.Sugar.Level","Children.Age.Group.6.To.59.Months.Who.Are.Anaemic","Women.With.Body.Mass.Index..Bmi..Below.Normal","Prevalence.Of.Symptoms.Of.Acute.Respiratory.Infection..Ari..In.The.2.Weeks.Preceding.The.Survey","Women.Age.Group.15.To.19.Years.Who.Were.Already.Mothers.Or.Pregnant.At.The.Time.Of.The.Survey","Women.Mildly.Elevated.Blood.Pressure","Women.Moderately.Or.Severely.Elevated.Blood.Pressure","Children.Under.5.Years.Who.Are.Severely.Wasted..Weight.For.Height","Children.Age.Group.12.To.23.Months.Who.Have.Received.Bacillus.Calmette.Guerin..Bcg","Female.Population.Age.6.Years.And.Above.Who.Ever.Attended.School"
"Andaman And Nicobar Islands","Nicobars",38.3,7.4,37.7,8.2,1.8,1.8,23.2,8.5,7.8,80.4,78
"Andaman And Nicobar Islands","North And Middle Andaman",62.1,7.2,30.4,8.6,7,3.8,18.4,4,8.3,0,82.7
"Andaman And Nicobar Islands","South Andamans",57.7,7.5,43.4,10,0,2.8,12.7,4.9,3.5,100,84.7
"Andhra Pradesh","Ananthapuramu",50.5,5.4,55.8,21.9,2.6,13.6,12.4,8.5,4,95.7,59.5
"Andhra Pradesh","Chittoor",51.8,6.9,54.9,20.1,3.1,19.7,10.7,5.4,6.3,97.2,65.6
"Andhra Pradesh","East Godavari",63,7.5,66.8,10.2,2.2,6.2,13,6.6,3.8,92.7,75.4
"Andhra Pradesh","Guntur",59.5,7.8,59.3,9.6,1,20.7,14.7,5.9,8.1,97.6,64.9
"Andhra Pradesh","Krishna",60.3,7.9,65.7,10.5,2.4,9.6,13.4,4.3,5.2,93.9,74
"Andhra Pradesh","Kurnool",58.6,6.9,70.8,20.6,4.2,12.4,18.3,5.1,6,95.9,55.2
"Andhra Pradesh","Prakasam",60.4,7.9,62.6,14.4,2.9,16.4,14.6,6.4,3.3,89.3,58.1
"Andhra Pradesh","Sri Potti Sriramulu Nellore",59.4,8.2,67.5,15.2,3.9,14.9,12.7,4.5,6.9,89.2,67.9
"Andhra Pradesh","Srikakulam",62.6,8.2,59.6,13.8,1.3,5.5,12.8,5.9,7.4,93.3,60
"Andhra Pradesh","Visakhapatnam",58,6.1,72.6,17.4,2,9.5,12.1,5.9,11.2,97.9,66.8
"Andhra Pradesh","Vizianagaram",64,6.2,66.7,16.9,1.4,12.7,12.9,6.6,8.3,100,56
"Andhra Pradesh","West Godavari",63,7.3,62.3,10.1,1,13.4,14.7,6.1,4.7,94.8,75.4
"Andhra Pradesh","Y.S.R.",56.1,8.4,60.6,15.9,2.3,10.9,13.6,5.7,4.2,92,61.9
"Arunachal Pradesh","Changlang",57.2,5.6,65.3,10.5,0.8,9,13.8,6.7,8.3,86.1,74.6
"Arunachal Pradesh","Longding",34.1,5.3,38.4,4,0.8,2.2,15.7,4.1,14.2,74.5,63.2
"Arunachal Pradesh","Lower Dibang Valley",34.6,4.6,51.5,4.1,1,1.6,16.7,8.1,2.9,89.2,76.8
"Arunachal Pradesh","Namsai",58.6,5.6,59.2,12.8,0.2,11.3,17.5,7.7,4.2,83.5,72.1
"Arunachal Pradesh","Papum Pare",38.4,4.8,53.4,5.3,1.9,6,13.6,3.5,5,88.1,77.6
"Arunachal Pradesh","Tirap",32,4.6,48.4,5.5,3.3,4,16.7,7.8,7.3,82.8,69
"Arunachal Pradesh","Upper Subansiri",36.7,3.6,60.4,2.8,1.3,13.2,17.7,5.9,8.1,89.8,61.4
"Arunachal Pradesh","West Siang",30.5,4.9,45.6,4.4,2.2,4.7,23.3,8.5,8.1,93.7,73.6
"Assam","Baksa",73.6,8.7,78.6,15.1,0.8,12.3,15,7.2,6.2,93.6,74.1
"Assam","Barpeta",64.8,8.1,63.5,14.6,1.5,14.2,9.6,3.9,7.5,94.3,75.4
"Assam","Biswanath",64.4,5.5,79.8,22,2,9,14.5,7,13.7,88.3,72.1
"Assam","Bongaigaon",70.6,7.6,77.2,13.1,1.6,15.4,7.9,4,7.4,94.1,77
"Assam","Cachar",57.4,6.4,61.8,19.7,2.1,8.5,9.7,3.7,12.5,88.3,80.5
"Assam","Charaideo",72.3,7.1,69.7,24.7,2.2,3.8,9.3,5.2,7.3,96.2,75
"Assam","Chirang",65.2,5.7,70.4,17.2,1.6,13.7,14,5.2,8.5,98.2,71.5
"Assam","Darrang",70.4,7,66.8,17.4,2.3,16.1,9.6,4.3,9.1,94.9,75.2
"Assam","Dhemaji",62.9,4.9,73.1,12.1,3,10.8,10.1,4.6,10.1,96.7,77.3
"Assam","Dhubri",63.2,4.6,73.1,22.2,1.7,22.4,11.3,5.5,6.7,90.5,71.8
"Assam","Dibrugarh",70.8,7.9,66.4,20.3,2.5,4.8,10.7,4.3,8.4,97.8,79.5
"Assam","Dima Hasao",60.5,5.6,73.1,10,2.7,5.4,11.2,3.5,11.3,91.3,85.1
"Assam","Goalpara",64.9,6,60.7,12.2,2.1,13.3,11.1,3.3,14.3,98.4,78.5
"Assam","Golaghat",77.2,6.4,75.1,25.1,4.1,9.5,10.7,6.9,5.4,92.6,77.6
"Assam","Hailakandi",61.4,7.1,59.5,25.7,4.9,10.4,12.2,5.8,8.2,95.4,81.5
"Assam","Hojai",56.3,6.3,56.8,19.3,2.4,15.6,11.6,6.9,4.6,82.1,79.1
"Assam","Jorhat",71.8,7.7,74.1,22.5,3,12.9,14.3,7.1,5.1,100,84.4
"Assam","Kamrup",71.5,7.1,72.9,12.9,1.5,15.7,12,3.9,5.3,90.5,79.4
"Assam","Kamrup Metro",74.6,8.3,80.4,12.6,1.3,10.1,8.2,2.6,7.3,90.6,87.5
"Assam","Karbi Anglong",59,6.5,67.5,10,2.2,9.1,10.9,6.5,8.7,88.7,76.4
"Assam","Karimganj",52,6.3,64.1,17.8,2.3,9.9,9,2.6,30.5,95.5,82.1
"Assam","Kokrajhar",59.5,5.9,74.7,10.6,3.8,11.3,11.3,5.3,8.9,95.3,75.2
"Assam","Lakhimpur",65.4,5,69.3,17.3,3.9,8.2,13,4.4,7.5,94.5,83.2
"Assam","Majuli",67.8,6.8,73,18,3,10.4,10.9,6.2,3.9,95.2,78.4
"Assam","Marigaon",64.2,5.5,53.3,15,5.9,11.6,12.7,4.9,7.5,91.3,79.1
"Assam","Nagaon",61,8.3,68.6,21.5,2.8,15,8.9,2.9,5.2,86.9,81.3
"Assam","Nalbari",66.4,8,71,16.4,2.2,8.6,12,5,4.9,89.9,81.8
"Assam","Sivasagar",67.6,7.9,67.5,20.5,0.4,12.8,11.5,5.9,6.1,95.7,87.1
"Assam","Sonitpur",63.6,5.1,69.4,21.4,2.4,6.5,14.5,8,4.5,90.4,74.9
"Assam","South Salmara Mancachar",57.1,5.3,69.6,11.9,3.9,22,11.3,3.1,7.1,97,69.4
"Assam","Tinsukia",72.8,8.9,66.4,17.6,2,6.1,9.6,4.7,9.4,97.2,72.6
"Assam","Udalguri",81.5,6.6,77.6,16.1,2.3,4.7,10,7,11.6,78.6,70.6
"Assam","West Karbi Anglong",57.9,6,79,13.1,2.9,6,11.3,4.2,12.7,92.7,73.8
"Bihar","Araria",67.9,6.9,75.8,30.4,6,13.3,5,2.9,5.2,90,53
"Bihar","Arwal",66.9,6.3,65.8,31.9,5,8.8,8.6,2.6,14.8,97.3,62.6
"Bihar","Aurangabad",60.5,6.5,68.4,25.8,2.5,7.3,10.4,4.2,18.5,99.4,65
"Bihar","Banka",65.9,7.2,77.8,23.8,2.3,19.2,10.6,4.8,11,98.1,59.3
"Bihar","Begusarai",62.9,6.8,74.5,26,3.1,12.1,7.1,2.4,8.8,96.6,65
"Bihar","Bhagalpur",73,7.5,78.7,22.9,1.1,14.3,7,3.2,8.3,96,65.1
"Bihar","Bhojpur",73.6,6.8,67.7,23.1,1.4,5.3,8.3,2.7,13,98.4,67.9
"Bihar","Buxar",66.2,7.1,68.3,21.1,3.7,7.2,9.2,2.8,15.1,97.3,64.8
"Bihar","Darbhanga",60.8,6.4,68.9,25.6,3.8,10.3,9,3.7,6.4,95.2,54.9
"Bihar","Gaya",64.3,4.2,76.7,26.8,4.1,7.2,11.5,3.9,9.3,97.1,59.6
"Bihar","Gopalganj",53.8,4.7,56.1,22.7,5.9,7.6,11.7,5.1,9.8,98.4,63.3
"Bihar","Jamui",75.2,5.4,81.9,31,1.9,15.4,7.3,4.1,8.8,97.5,53.1
"Bihar","Jehanabad",68.1,6.9,61.9,27.2,3.4,12,8.9,2.6,15.2,100,61.7
"Bihar","Kaimur (Bhabua)",70.3,4.4,71.4,25.6,4.2,2.6,7.9,3.3,15.9,98.2,62.3
"Bihar","Katihar",68.4,6.5,65.6,26.4,2.1,16.1,6,4,8.7,93.2,57.5
"Bihar","Khagaria",59.5,8.4,67.1,24.7,1.6,15.1,7.5,2.3,9.3,97.1,60.6
"Bihar","Kishanganj",65.1,5.6,67.5,29.1,1.8,10,8.5,3.6,7.6,93.2,56
"Bihar","Lakhisarai",72.6,7.3,77.2,25.3,1.3,13,6.6,3.4,10.4,92.9,61.2
"Bihar","Madhepura",65.7,8.7,67.7,32,1.6,20.8,5.3,1.9,6.2,97.6,58
"Bihar","Madhubani",61.4,7.4,71,25.1,4.4,10.2,9.5,4.2,6,95.7,55.6
"Bihar","Munger",71.4,9.8,74.3,23.7,2.6,9.6,9.8,3.5,9.1,95,69.5
"Bihar","Muzaffarpur",58.9,6.9,64.6,25.2,4.3,8.2,9.8,5,8.1,99.1,65.1
"Bihar","Nalanda",71,6.8,80.3,23.8,5.3,10,8.2,3.3,12.1,95.7,59.6
"Bihar","Nawada",70.4,4.9,73.3,28.4,2.8,9.4,8.8,3.8,9.1,94.6,61.4
"Bihar","Pashchim Champaran",50.6,4.3,61.6,24.6,6.6,12.5,11.3,5.1,5.4,88.8,59.8
"Bihar","Patna",67.1,7.6,65.4,22.6,0.7,10.1,8.1,2.5,10.6,98.4,69.5
"Bihar","Purbi Champaran",57.3,5.3,61,23.4,4.7,12.7,9.1,4,5.7,90.8,58.2
"Bihar","Purnia",66,6.9,68,31.4,2.7,21.4,8.2,2.7,8,88.1,53.6
"Bihar","Rohtas",64.9,5.3,70.3,22.9,3.1,4.6,10.5,3.9,18,97.6,70.5
"Bihar","Saharsa",65.3,6.6,69.3,31,2,23.5,6.2,2.8,8.3,97.1,50.2
"Bihar","Samastipur",60.5,8,67.2,26.7,4.5,14.9,7.1,4.2,7.9,99,60.9
"Bihar","Saran",62.8,8.1,69.8,22.1,1.6,6.2,8.4,3.3,10,95.2,64.8
"Bihar","Sheikhpura",69.5,5.7,80.1,24.1,6.8,10.2,9.2,4.2,7.7,99.2,58.5
"Bihar","Sheohar",61.6,4.2,73.1,20,5.2,3.3,10.1,3.7,21.4,92.8,56.2
"Bihar","Sitamarhi",61.7,6.2,70,31.8,3.4,13.1,9.9,4.3,4.7,92.7,59.1
"Bihar","Siwan",53.1,3.4,63.9,18.1,7.4,2.6,12.4,5.2,5.8,97.4,70.7
"Bihar","Supaul",60.7,6.8,63.6,30.9,5,17,6.3,2.5,8.2,99.2,50.9
"Bihar","Vaishali",63.1,6.5,77.1,26.1,3.9,8.1,6,3.5,6.5,97.4,64.5
"Chhattisgarh","Balodabazar-Bhatapara",61.2,3.1,67.8,19.4,3,2.7,14.2,6.2,9.4,97,66.7
"Chhattisgarh","Balrampur Ramanujganj",63.4,4.1,50.1,28.7,0.5,9.1,15.5,9.2,7.9,92.4,62.1
"Chhattisgarh","Bastar",77.2,4.6,80.7,34.9,5.3,6,13.1,7.2,9.1,93.9,58
"Chhattisgarh","Bemetara",47,4.7,61.8,21,0,4.9,17.1,7,3.9,100,65.3
"Chhattisgarh","Bijapur",72.1,4.4,77.2,43.6,2.8,5.2,9.7,3.5,8,92.7,47.4
"Chhattisgarh","Dakshin Bastar Dantewada",76,5.8,89.9,25.9,1,6.7,14.8,2.6,9.6,95.1,51
"Chhattisgarh","Gariyaband",64.6,4,73.9,20,4.8,3.6,15.5,5.6,10.6,100,67.4
"Chhattisgarh","Janjgir-Champa",66.3,4.1,74.1,21.5,2.1,3.5,15.1,5.1,12,94.1,67.7
"Chhattisgarh","Jashpur",61.5,5,54.1,27.5,0,5.5,17.3,10.4,3.9,95.5,67.9
"Chhattisgarh","Kabeerdham",43.6,5.6,67.5,20.6,0,1.5,16.5,6.7,3.1,98.5,61.7
"Chhattisgarh","Kondagaon",79.7,4.5,76.6,31.3,4.4,3,12.2,6.5,8.8,96.9,57.5
"Chhattisgarh","Korea",64.4,7.5,56.3,25.1,0.4,5,14.5,8.5,4.7,90.2,69.7
"Chhattisgarh","Mahasamund",63,4.1,75.8,21.3,2.4,1.2,11.7,4.3,3.6,98.2,68.6
"Chhattisgarh","Mungeli",54.5,4.8,62,20.9,0,3.1,17.5,7.5,5,98.7,63.6
"Chhattisgarh","Narayanpur",72,3.9,86.8,28.1,1.6,2.5,13.4,3.7,8.3,100,54
"Chhattisgarh","Raigarh",62.2,4,62.7,26.9,0.8,1.3,15.5,8.7,2.9,100,72.2
"Chhattisgarh","Raipur",59.1,4,74.6,14.4,3.8,3.3,11,3.6,10.3,96.6,77.1
"Chhattisgarh","Sukma",78.4,4.3,91.4,34.5,1.8,2.7,10.5,2.7,9.9,95,45.9
"Chhattisgarh","Surajpur",60.7,4.9,51.1,29.5,0,4.5,16.6,7.2,5.8,92.6,64.8
"Chhattisgarh","Surguja",58.3,4.3,51.4,26.8,0.3,6.4,16.7,9.8,7.6,96.4,66.3
"Chhattisgarh","Uttar Bastar Kanker",65.2,3.4,62.3,25.5,2.8,0.8,17.2,9.1,15.7,94.6,70.2
"Delhi","East",42.5,4.6,65.9,11.9,4.5,1.3,16.6,6.2,4.3,95.7,84.4
"Delhi","North",47.2,4,67.5,9.2,5.7,8.2,11.6,6,3.8,96.3,80.8
"Delhi","North East",45.9,3.6,62.5,9.6,2.3,1.6,16.6,7.5,3.8,95.7,82.7
"Delhi","North West",51.4,5,73.6,9,8.8,3.7,14.3,5.1,5.9,95.4,84.2
"Goa","North Goa",40,7.9,55.2,14.1,1.5,2.7,11,4.1,7.3,97.1,89.5
"Goa","South Goa",37.6,9.4,50,13.5,0,2.8,13.6,3,8,0,88.2
"Gujarat","Ahmadabad",63.7,10.2,72,19.4,1,4.4,8.4,3.3,7.4,93,79.8
"Gujarat","Amreli",50,8.3,72,18.3,0.3,1.6,8,4.3,7.2,93.4,69.9
"Gujarat","Anand",66.4,9.8,78.4,32,0,7,15.9,6.1,10.9,98.1,75.2
"Gujarat","Arvalli",77.3,6.7,89.5,34.4,1.8,6.7,11.8,6.9,9.3,95.2,68.6
"Gujarat","Banas Kantha",60,7.6,79,36.7,0,5.1,7.9,2.9,8.5,86.4,61.1
"Gujarat","Bharuch",71.8,7.6,81,30.3,0.4,5,14.4,4,8,91.5,76.7
"Gujarat","Bhavnagar",49.4,8.8,71.5,20.8,1.8,1.5,9.8,4.1,6.3,90.6,72
"Gujarat","Botad",58.8,8.8,75.5,19.6,0.6,2.2,6.2,3,9.6,94,68.9
"Gujarat","Chhotaudepur",78.9,6.3,87.7,30.9,2.7,4.3,12.1,5.7,13.8,98.7,52.3
"Gujarat","Dang",77.2,4.1,82.4,33.7,2.7,13,18.3,4,22.2,94.9,69.9
"Gujarat","Devbhumi Dwarka",48.8,6.4,66.7,22.4,0,3.8,9.7,4.4,17.2,92.3,59
"Gujarat","Dohad",75.1,7,87.2,39.1,3.7,7.4,12.8,4,13.4,88.9,59.6
"Gujarat","Gandhinagar",68.8,8.7,81.2,21.2,0.4,5,12.6,5.8,9.9,94.2,77.6
"Gujarat","Gir Somnath",49.9,6.2,68.9,24.8,0.7,0.9,6.5,3.3,4.9,98.8,65.8
"Gujarat","Jamnagar",50.2,8.1,75,17.3,2.1,1,8.2,3.2,12.5,100,72.8
"Gujarat","Junagadh",58.8,9.2,74.7,18.7,1.5,5,12.7,5.6,7.1,95.3,73.8
"Gujarat","Kachchh",57.5,6.7,68.6,28.1,0.5,5.7,10.8,4.4,10.6,97.4,66.6
"Gujarat","Kheda",76.1,8.5,85.1,32.2,1.5,10.4,14,6.3,12.1,90.1,74
"Gujarat","Mahesana",69.3,9.7,86,24.4,0.5,4.5,12.9,5.9,12,92.6,71.3
"Gujarat","Mahisagar",72.5,7,85.9,30.7,0.9,6.1,10,4.1,12,97.2,66.1
"Gujarat","Morbi",50.7,9.7,75.3,21.2,0.9,3.4,9.3,4.2,12.5,95.9,70.5
"Gujarat","Narmada",75.9,6.3,93.2,30.7,1,12,12,5.6,9.9,88.3,66
"Gujarat","Navsari",68.7,6.2,75.3,21.8,3.9,3.3,14.9,5.4,9.3,100,77.9
"Gujarat","Panch Mahals",69.8,8.2,91,33.1,0.9,10.5,14.9,6.4,19.7,99.1,70.1
"Gujarat","Patan",59.8,10.2,76.2,29.3,0.5,2.3,8.3,3.7,6.5,97.2,64.8
"Gujarat","Porbandar",47.6,9.2,77.9,15.8,0.8,1.9,8.7,3,14.2,96.6,74.9
"Gujarat","Rajkot",60.5,7.7,77,19.5,1.2,1.8,9.4,2.5,7.3,95.8,78.4
"Gujarat","Sabar Kantha",67.3,8.1,81.1,26.6,0.5,6.1,14.7,6.6,16.6,98.6,68.7
"Gujarat","Surat",69,6.8,83.6,21,0,4.4,15.3,4.9,14.7,100,82.7
"Gujarat","Surendranagar",55.6,8.5,81,24.1,2.9,6.3,9.9,3.5,8.8,91.2,66
"Gujarat","Tapi",77.4,7.1,80.7,35.4,1.6,9.9,16.7,7.6,17.1,97.5,66.1
"Gujarat","Vadodara",72.3,7.8,86.4,20.9,0.7,10.3,13.8,4.9,5.2,93.2,82
"Gujarat","Valsad",75.7,7.3,87.6,23.8,0.6,6.5,15.5,5.1,9.1,98.5,79
"Haryana","Ambala",46.1,4,64.2,14.8,5.8,0.8,15.3,9.4,4,97.7,82.2
"Haryana","Bhiwani",66.4,5.4,69.2,19.5,0.3,3.4,12.3,3.9,1.9,95.3,70.2
"Haryana","Charki Dadri",72.6,5.2,67.2,17,0.3,3.1,13.7,4.7,2.6,92.4,69.6
"Haryana","Faridabad",54.2,3.8,68.4,10,1.2,2.8,15.2,5.3,3.6,95.4,80.5
"Haryana","Fatehabad",62.3,6.6,59.3,19.8,0.6,2.1,9.7,5,5.3,96.8,67.3
"Haryana","Hisar",63.8,7.1,70.5,18.5,2.2,3.6,9.5,6.6,5.1,100,69.3
"Haryana","Jind",59.6,6.1,68.9,18.9,0.7,1.9,9.4,4.5,1.6,96.3,71.4
"Haryana","Karnal",61.9,3.5,78.3,14.9,5.1,3.1,10.7,3.8,4.8,100,79.2
"Haryana","Kurukshetra",57.1,4.8,73.7,11.8,7.7,3.9,17.9,7.8,5,97,75.3
"Haryana","Mahendragarh",61.2,5,72.3,14.3,0.8,9.6,13.7,5,2.1,94.3,70
"Haryana","Nuh",60.6,2.9,76.4,19.2,0.7,7.6,10.6,2.9,7.1,87.2,51.2
"Haryana","Palwal",57.2,3.1,71.6,15.8,2.1,4.7,14,6.2,4.2,94.1,67
"Haryana","Panipat",66.9,4.9,73.4,13.7,4.7,5.7,11.3,4.1,2.8,96.8,78.3
"Haryana","Rewari",61.8,4,71.3,11.7,0,4.7,15.7,6.8,4.2,92.6,74.6
"Haryana","Rohtak",65.3,6.6,76.2,15.9,1.9,1.7,10.6,5.6,2.9,88.2,79.6
"Haryana","Sonipat",53.3,6.2,68.7,13.2,4,2.9,12.6,4.5,5.1,92.4,78.9
"Haryana","Yamunanagar",56.6,5.7,72.9,14,6.6,2.3,15.6,7.2,4.3,95.8,79.1
"Himachal Pradesh","Bilaspur",53,9.3,44.8,17.5,0,3.2,11.5,4.3,2.8,100,81.3
"Himachal Pradesh","Chamba",43.7,5.4,46.5,14.6,1.6,2,11.9,3.5,5.8,100,70.1
"Himachal Pradesh","Hamirpur",49.5,7.5,52,17.2,1.1,2.8,13.7,6.8,4.9,88.6,86.7
"Himachal Pradesh","Kangra",63.4,7.4,55.3,15.2,0.4,0.8,13.4,6.8,7.7,97.4,84.1
"Himachal Pradesh","Kinnaur",51.7,3.5,75.6,9.9,0.8,9.3,11.3,3.8,4.3,97.7,73.8
"Himachal Pradesh","Kullu",52.8,3.9,75.3,11,0.5,4.7,10.3,2.9,5.8,93.8,77.4
"Himachal Pradesh","Lahul And Spiti",82.1,4.1,91,9.9,1.3,3.1,8.7,3.6,10.3,97.5,65.6
"Himachal Pradesh","Mandi",48.9,6.9,52.2,12.8,0.4,6.3,10.8,4.2,8,100,79.2
"Himachal Pradesh","Shimla",46.5,4.8,59.1,9.9,3.8,6.1,10.7,4,7.8,100,81.6
"Himachal Pradesh","Sirmaur",50.1,4.5,58.5,16.1,2.8,1.8,10.9,4.5,9.1,100,75.7
"Himachal Pradesh","Solan",47.5,5.1,50.4,11.9,4,5.8,12.5,5.4,5.6,97.6,82.4
"Himachal Pradesh","Una",60.8,8.3,58.7,16.3,0.4,2.1,11.7,6.4,5.9,100,86.1
"Jammu And Kashmir","Anantnag",74.3,5,79.2,4.1,7.7,0.7,11.5,3.8,14,88.4,65.5
"Jammu And Kashmir","Bandipora",73.7,2.9,75.1,10.4,4.8,0,8.8,5,4.6,93.4,62.4
"Jammu And Kashmir","Baramulla",72.5,4.5,70.4,10.6,3.8,0,13.6,3.9,8.8,91.5,62.9
"Jammu And Kashmir","Budgam",73.9,2.9,85,4.7,5.1,1,10.9,4.5,9.1,100,62.5
"Jammu And Kashmir","Doda",66.5,4.4,80.7,5,0,2.7,12.6,3.9,6,83.6,65.1
"Jammu And Kashmir","Ganderbal",77.2,4.2,89.8,7.7,2.3,0.4,10.7,3.2,13.3,98.7,60.2
"Jammu And Kashmir","Jammu",66.6,3.6,68.4,4.2,3.6,0,10.4,3.6,10.4,95.5,84
"Jammu And Kashmir","Kathua",53.6,7.8,67,5.3,1,0,15.3,1.9,13.1,100,77.4
"Jammu And Kashmir","Kishtwar",84.8,2.9,88.5,5.1,2.2,1.8,4.3,2.2,15.3,97.3,68.9
