"State","District","Women_Anaemic_15_49","Children_Anaemic_6_59_Months","Women_High_Blood_Sugar","Teen_Mothers_15_19","Women_BMI_Below_Normal","Children_Underweight_U5","Women_Consume_Alcohol_15Plus","Female_Ever_Attended_School_6Plus","Married_Women_Using_Pill_15_49"
"Odisha","Nabarangpur",69.3,70.8,3.9,8.3,30.9,46.6,6,52.9,18.5
"Odisha","Nuapada",64,73.5,5.5,3.9,30.7,38,0.9,60.9,11.2
"Odisha","Rayagada",69.1,70.5,6.6,9.2,26.7,39.8,4.9,50.8,6.7
"Punjab","Amritsar",52.1,73.6,5.4,4.4,9.6,11.2,0.1,78,0.6
"Punjab","Barnala",55.2,60.6,4.8,2.6,13,16.5,0.3,72.4,2.9
"Punjab","Faridkot",63.2,76.1,5.3,4.7,16.3,20.7,0.2,71.7,2.3
"Punjab","Fazilka",66.9,70,6,2.6,19.4,20.2,0.3,70.8,2.7
"Punjab","Ferozepur",61.5,73.4,5.7,1.9,12.6,22,0.3,72.5,1.2
"Punjab","Gurdaspur",55.2,70.1,5.2,8.2,11.1,15.3,0.6,79,1.7
"Punjab","Mansa",60.4,78.2,5.3,2.7,16.1,22.7,0.3,63.6,2.2
"Punjab","Pathankot",55,68.3,4.7,2.7,11,10.8,0.3,82.8,2.8
"Rajasthan","Ajmer",52.7,76.3,3.8,5.5,14.2,23.1,0.2,67.3,2.4
"Rajasthan","Alwar",53.2,63.2,3,8,24.3,24,0.3,64,1.5
"Rajasthan","Banswara",52.8,82.1,5.7,5.2,23.3,38.7,0.8,55.9,2.2
"Rajasthan","Baran",60.1,65.1,4.5,3,20.5,40.2,0.8,61.7,3
"Rajasthan","Barmer",49.4,67.1,4.3,2,19.7,31.7,0.4,67,4.5
"Rajasthan","Bharatpur",60.8,75.7,3,5.1,23.5,29.1,0.2,62.4,1.8
"Rajasthan","Bhilwara",50.4,62.7,3.9,5.4,16.3,23.5,0.4,57.1,1.6
"Rajasthan","Bikaner",58.9,82.4,3.9,6.5,17.8,28.5,0.4,64.6,1.7
"Rajasthan","Bundi",55.9,74.9,3.4,2.3,29.6,29.1,0.5,57.9,3.9
"Rajasthan","Chittorgarh",45.1,72.4,5.6,3.5,20.2,25.9,0.5,55.3,2.1
"Rajasthan","Churu",52.9,78.1,2.9,4.2,20.3,23.4,0.4,62.9,5.2
"Rajasthan","Dausa",60.3,74.4,4.4,3,22.7,33.5,0.2,59.4,1.8
"Rajasthan","Dholpur",68.5,81.7,3,7.2,21.5,31.3,0.2,63.2,2.2
"Rajasthan","Dungarpur",72.6,79.8,5.7,4.4,26.8,25.9,0.3,64.6,2.9
"Rajasthan","Ganganagar",59,72.3,3.8,2.4,14.3,26.1,0.5,68.6,2.9
"Rajasthan","Hanumangarh",60.3,81,3.9,2.8,19.3,21.3,0.1,65.1,5.1
"Rajasthan","Jaipur",54.1,71.3,4.2,1.8,16.6,20.8,0.2,68.1,2
"Rajasthan","Jaisalmer",44.4,58.6,2.7,1,16.3,31.7,0.1,61.7,3.3
"Rajasthan","Jalore",59.9,66.3,4.3,2.9,19.7,36.5,0.5,59.5,2.1
"Rajasthan","Jhalawar",51.5,73.1,4.6,5.6,19.8,38.1,0.4,55.6,1.9
"Rajasthan","Jhunjhunu",55.4,77.2,2.9,0.8,20,19.6,0.7,66.8,4
"Rajasthan","Jodhpur",43.4,64.4,3.1,5.1,16.9,25.4,0.2,64.8,4.8
"Rajasthan","Karauli",61.5,75.9,3.7,7,23,37.3,0.4,56.5,1.5
"Rajasthan","Kota",51.8,66.7,3.1,0.5,15.5,26.4,0.3,74.7,2.5
"Rajasthan","Nagaur",45.3,65.1,3.4,0.9,18.9,26.2,0.3,62.9,6.6
"Rajasthan","Pali",58.8,72.6,5.4,2.2,16.3,35.9,0.1,67.1,2.9
"Rajasthan","Pratapgarh",53.1,65.8,3.5,3.2,24.1,31.8,0.4,57,1.8
"Rajasthan","Rajsamand",58.4,84.3,3.9,3.2,18.1,23.7,0.1,64.2,1.9
"Rajasthan","Sawai Madhopur",57.5,73.3,3,2.9,25.8,24.2,0.6,57.4,2.4
"Rajasthan","Sikar",44,61.5,2.9,3,21.4,18.3,0.2,67.9,4.7
"Rajasthan","Sirohi",64,75.8,3,4.4,17.7,31.2,0.3,59.4,4.3
"Rajasthan","Tonk",52.8,64.6,3,3.1,23.8,28.2,0.5,54.8,1.9
"Rajasthan","Udaipur",60.5,76.9,5.4,4.5,17.5,26.6,0.3,63.8,3.4
"Sikkim","Gangtok",43.3,49.8,7.4,1.7,7.7,13,14.5,86.4,11.6
"Sikkim","Gyalshing",42.7,67.1,3.5,2.5,3,19.3,20.5,81.8,33
"Sikkim","Mangan",36.7,53.5,6.5,3.8,3.4,15.3,22.7,78.5,17.5
"Sikkim","Namchi",39.8,56.5,6.6,8.7,4.6,7.2,15,80.2,20.1
"Tamil Nadu","Dindigul",42.6,50.2,8.2,8.6,12.9,28.4,0.1,77.8,0.8
"Tamil Nadu","Theni",41.2,46.8,8.8,13.5,10.3,18.8,0.3,80.9,0.3
"Telangana","Adilabad",61.1,76.3,4.7,7.8,26.9,52,2.1,58.6,1.2
"Telangana","Bhadradri Kothagudem",68.7,69.3,9.1,13,14.9,25.3,2.9,62.7,0.9
"Telangana","Hanumakonda",57.9,67,7.7,4.3,16.8,36,2.9,70.3,0.7
"Telangana","Hyderabad",52.7,63.6,5.4,2.2,12.4,18.9,0.7,80.3,1.9
"Telangana","Jagitial",56.3,59.9,7.5,3.1,22.5,32.3,2.6,55.9,0.7
"Telangana","Jangoan",57.5,69.5,6.5,6.5,18.2,30.9,11.3,56.6,0.3
"Telangana","Jayashankar Bhupalapally",65.9,67.9,5.3,13.2,17.7,36.7,4.3,52.4,0.5
"Telangana","Jogulamba Gadwal",64.6,82.4,3.4,15.9,27.5,41.7,7.1,47.8,0.2
"Telangana","Kamareddy",58.9,71.6,5.4,1.1,21.7,43.9,16.7,51.1,0.2
"Telangana","Karimnagar",61.1,70.8,6.2,7.6,20.6,27.5,5.6,63.6,0.1
"Telangana","Khammam",62.4,60.5,6.9,10.9,12.8,26.2,1.3,61.8,0.4
"Telangana","Kumuram Bheem Asifabad",67.3,70.7,3.9,4.6,25.7,41.1,3,52.9,0.5
"Telangana","Mahabubabad",62.8,81.1,7.7,6.6,18.6,26.3,12.6,55,0.4
"Telangana","Mahabubnagar",54.7,82.6,4.9,9.2,24,33,8,54.8,0.1
"Telangana","Mancherial",56.7,58.7,6.7,3.7,21.9,27.4,1.9,58.4,0.2
"Telangana","Medak",54.4,70,5.7,6.5,25.4,42,23.8,52.3,0.3
"Telangana","Medchal Malkajgiri",56.8,73.8,4.4,3.1,15.2,25,2.4,72.9,1.4
"Telangana","Mulugu",65.9,67.9,5.3,13.2,17.7,36.7,4.3,52.4,0.5
"Telangana","Nagarkurnool",54,75.1,4.5,5.3,19.1,30.9,11.8,51.1,0.6
"Telangana","Nalgonda",54.3,74.5,5.9,6,15.5,28,7.4,59.8,0.5
"Telangana","Nirmal",57.7,65.3,5.6,9.6,26.9,33.4,3.5,53.3,1
"Telangana","Nizamabad",57,65.3,5.1,3.8,21,38.4,9.8,54.3,1.2
"Telangana","Peddapalli",64.6,69.6,4.2,4.6,16.5,33.1,4.2,61.3,0.5
"Telangana","Rajanna Sircilla",56,65.7,6.5,3,18.6,26.1,6.1,56.4,0.3
"Telangana","Ranga Reddy",53.2,75.8,5.2,5.2,14.9,29.5,6.7,68.6,0.7
"Telangana","Sangareddy",48.3,67,4.4,4.4,20,35.1,11.2,60.2,2
"Telangana","Siddipet",56.7,63.5,4,1,17.9,29.6,8.3,60.8,1.3
"Telangana","Suryapet",57.5,76.6,8.1,6.2,16,30.1,6.1,57.4,0.4
"Telangana","Vikarabad",61,70,4.8,10,25.6,37.1,17,53.1,0
"Telangana","Wanaparthy",58.7,75.3,5.9,4.7,24.6,33.2,8.7,49.3,0.3
"Telangana","Warangal",59.3,71.5,6.6,12.9,22.6,37.9,6.5,51.8,0.8
"Telangana","Yadadri Bhuvanagiri",53.8,65.3,6.1,1.7,19.4,27.2,12.9,59.1,0
"The Dadra And Nagar Haveli And Daman And Diu","Dadra And Nagar Haveli",64.4,74.8,7.1,5.5,27,42.1,1.4,70.8,3
"The Dadra And Nagar Haveli And Daman And Diu","Daman",60.8,82.5,4.5,1.4,22.3,29.3,0.6,83.8,3.9
"The Dadra And Nagar Haveli And Daman And Diu","Diu",50.3,62.8,7.9,0,16.4,28.5,0.4,77.8,1.9
"Tripura","Dhalai",70,81.2,8.5,26.9,15.9,27.6,7.5,74.8,39
"Tripura","Gomati",62.3,70.7,7.9,24.4,14.1,29,9.4,80.1,37.1
"Tripura","Khowai",63.7,73.4,9.9,24.3,18.7,24.7,9.6,81.3,36.2
"Tripura","North Tripura",69.3,52.5,10.6,11.9,18.6,32.2,6.1,86.4,35.3
"Tripura","Sepahijala",69.4,72.1,8.7,26.6,13.9,21,8.1,78.9,26.3
"Tripura","South Tripura",66.5,59.6,8.3,23.1,16.8,21.6,5.6,80.4,27.9
"Tripura","Unakoti",67.9,62.8,8.6,21.2,26,32,3.4,81.6,29.6
"Tripura","West Tripura",67.3,54.5,8.4,20.2,13.7,21.2,3.5,85.3,32.5
"Uttar Pradesh","Agra",59.4,73,3.7,3.5,15.4,26.2,0.6,69.4,4.2
"Uttar Pradesh","Aligarh",56.5,62.6,7.4,4.5,18.6,26.3,0.1,68,2.3
"Uttar Pradesh","Ambedkar Nagar",52.7,54.9,7.2,0,26.7,29.2,0.2,71.6,0.9
"Uttar Pradesh","Amethi",46.1,52.4,5.9,1.9,21,33.1,0.4,66.1,1.6
"Uttar Pradesh","Amroha",47.6,69.6,2.8,4,16,35.4,0.4,63.7,2.8
"Uttar Pradesh","Auraiya",39.1,64.2,3,4.9,18.8,32.6,0.3,75.9,1.3
"Uttar Pradesh","Ayodhya",52.3,57.7,7.9,2,20,27.5,0.2,71.1,0.7
"Uttar Pradesh","Azamgarh",54.3,58.9,6.8,0.3,22.1,28,0.3,71.2,0.9
"Uttar Pradesh","Baghpat",53.3,60.2,5.8,2.7,14.9,26,0.3,71.6,3.6
"Uttar Pradesh","Bahraich",48.8,71.7,2.1,8.4,29.9,38,0.6,48.2,8.3
"Uttar Pradesh","Ballia",52.2,71.6,5,1.7,16.8,42.5,0.5,68.1,12.4
"Uttar Pradesh","Balrampur",53.7,75.4,3.3,4.1,22.2,37.2,0.4,53.1,11.1
"Uttar Pradesh","Banda",52.2,82.2,6.6,2.5,25.7,49.8,0.5,61.8,6.5
"Uttar Pradesh","Barabanki",55.3,65.5,3.2,3.4,26,31.9,0.2,65.1,3.5
"Uttar Pradesh","Bareilly",60.8,67.7,3.6,5.6,18.2,35.2,0.1,55.8,3.3
"Uttar Pradesh","Basti",39.9,58.4,4.3,1,20,39.2,0.2,64.4,15.5
"Uttar Pradesh","Bhadohi",43.8,59.2,4.3,1.7,15.8,26.5,0.1,67.3,2.2
"Uttar Pradesh","Bijnor",46,60.9,4.1,1.2,17,21.9,0.2,69.6,3.2
"Uttar Pradesh","Budaun",55.3,72.2,5,7,19.4,43,0.5,54.9,2.8
"Uttar Pradesh","Bulandshahr",52,64.1,6.7,5.5,15.8,26.5,0.2,67.7,1.4
"Uttar Pradesh","Chandauli",48.7,64.6,5.2,2.1,21.4,29.9,0.4,68.8,2.2
"Uttar Pradesh","Chitrakoot",46.6,55.3,1.6,3.5,24.1,41.8,0.5,63.8,3.2
"Uttar Pradesh","Deoria",33.8,54.9,4.2,2.1,16.8,39.4,0.3,69,5.4
"Uttar Pradesh","Etah",55.4,77.4,3.7,4.3,18.7,30.6,0.6,68,3.3
"Uttar Pradesh","Etawah",57.4,74,4.9,2.2,16,24.3,0.1,74.6,4.8
"Uttar Pradesh","Farrukhabad",56.9,77.1,3.3,4.1,18.3,31.1,0.3,67.1,2.6
"Uttar Pradesh","Fatehpur",63,78.1,2.5,3.3,24.7,38,0.8,63.4,6.6
"Uttar Pradesh","Firozabad",57.1,73.9,4.5,3.6,18.8,25.6,0.3,72.5,2.3
"Uttar Pradesh","Ghaziabad",55.2,61.8,7.8,0.6,11.1,23.4,0.1,78.9,0.2
"Uttar Pradesh","Ghazipur",45.7,71.6,4.9,1.9,19.4,38.3,0.2,69.7,10.1
"Uttar Pradesh","Gonda",49.3,62,3.6,4.2,24.6,28,0.4,61.7,6.6
"Uttar Pradesh","Gorakhpur",52.9,67.4,6.9,2.4,18,33.7,0.1,67.6,6.9
"Uttar Pradesh","Hamirpur",46.1,68.5,2.6,1.4,22.5,36.3,0.2,70.8,3.8
"Uttar Pradesh","Hapur",50.6,69.4,4.1,0.8,9.4,26.9,0.1,71.8,2.4
"Uttar Pradesh","Hardoi",59.7,76.1,4.1,2.8,22.9,33,0.1,64.6,4.4
"Uttar Pradesh","Hathras",58.2,72.1,3.6,5.7,15.9,24.5,0.5,67.9,3.3
"Uttar Pradesh","Jalaun",44.2,55.2,2.6,2.2,22.2,36.1,0.2,71.9,0.8
"Uttar Pradesh","Jaunpur",34,65.3,3.5,0.6,17.5,30.3,0.6,69.9,6.8
"Uttar Pradesh","Jhansi",41.3,70.3,2.8,3.5,18.7,39.3,0.3,71.1,4.2
"Uttar Pradesh","Kannauj",65.2,79.6,3.1,1.3,20.5,33.5,0.3,71.3,4.7
"Uttar Pradesh","Kanpur Dehat",54.9,69.2,4.2,1.9,17.1,32.8,0.4,73.9,2.3
"Uttar Pradesh","Kanpur Nagar",57,76.3,5.1,3.4,13.8,27.8,0.3,80.4,3.6
"Uttar Pradesh","Kasganj",64.6,80.8,3.6,7.6,17.7,35.5,0.4,62.2,3.3
"Uttar Pradesh","Kaushambi",54.4,65.5,6.7,2.9,24.1,36.8,0.2,63.2,0.9
"Uttar Pradesh","Kheri",53,66.3,4,3.6,30.9,36.3,0.2,66.3,1.4
"Uttar Pradesh","Kushi Nagar",42.3,52.8,4.9,2.6,19,36.6,0.2,63.7,10.1
"Uttar Pradesh","Lalitpur",38.1,56,2.6,9.4,22.4,34.8,0.7,66.8,2.2
"Uttar Pradesh","Mahoba",49.4,70.1,3.4,4,28,33.4,0.2,65.2,1
"Uttar Pradesh","Mahrajganj",47.1,60.5,6,3.6,17.9,37.4,0.3,62.4,7.4
"Uttar Pradesh","Mainpuri",57.8,70.4,4.4,4,15.3,33.6,0.5,74.6,2.4
"Uttar Pradesh","Mathura",63,77.2,3.9,6.4,18.1,21.3,0.1,68.4,2.4
"Uttar Pradesh","Mau",44.3,62.7,4.8,0.3,16.5,30.3,0.4,68.8,7.1
"Uttar Pradesh","Meerut",45.5,55.2,5.8,2.4,12.8,23.7,0.2,74,2.2
"Uttar Pradesh","Mirzapur",42.1,59.8,3.8,2.4,20.9,27.6,0.1,69,7.5
"Uttar Pradesh","Moradabad",44.9,67.6,5.2,1.5,13.4,27,0.3,67.6,5.5
"Uttar Pradesh","Muzaffarnagar",46,65.4,5.5,1,11.1,29.9,0.3,69.1,3.6
"Uttar Pradesh","Pilibhit",52,57.3,5,4.6,16.4,39.4,0.2,60.1,1.4
"Uttar Pradesh","Pratapgarh",48.9,58,6.9,0.7,19.6,27.7,0.5,67.2,1.9
"Uttar Pradesh","Prayagraj",46.4,50.5,6.3,2,17.3,32.6,0.2,70.6,1.4
"Uttar Pradesh","Rae Bareli",48.2,76.4,3.9,1.3,18.5,28.8,0.5,66.4,4.8
"Uttar Pradesh","Rampur",55.4,69.6,6.6,3.5,13.6,32.1,0.1,57.6,2.3
"Uttar Pradesh","Saharanpur",41.4,68.1,4.8,1.3,12.8,26.7,0.5,69.3,4.5
"Uttar Pradesh","Sambhal",51.3,69.8,3.5,4.3,16.1,29.8,0.2,56,2.5
"Uttar Pradesh","Sant Kabir Nagar",43.5,71.6,4.5,1.9,19.3,34.2,0.3,63.8,8.3
"Uttar Pradesh","Shahjahanpur",60.3,75.4,4.5,4.6,17.8,34.7,0.2,63.2,5.9
"Uttar Pradesh","Shamli",41.7,65.2,4.6,2.3,9.8,27.5,0.3,62.7,4.4
"Uttar Pradesh","Shrawasti",44.4,61.2,3.9,5.3,22.8,40.8,0.3,47,8.3
"Uttar Pradesh","Siddharth Nagar",51.2,75.8,4,3.7,25.8,36.3,0.2,57.7,15.9
"Uttar Pradesh","Sitapur",55.3,66.4,3.7,3.4,30.1,37.9,0.1,65,1.6
"Uttar Pradesh","Sonbhadra",44.5,63,5.1,6.9,20.9,46.5,0.6,62.1,7.6
"Uttar Pradesh","Sultanpur",50.2,62.3,5.6,1.1,20.8,28.3,0.1,68.9,1.1
"Uttar Pradesh","Unnao",48.9,76,4.4,2.2,22.6,29.3,0.3,69,6.7
"Uttar Pradesh","Varanasi",37.6,65.2,4.3,0,15.7,39,0.4,74.1,9.1
"Uttarakhand","Almora",33.4,57.7,5.3,1.7,15.6,22.9,0.1,72.3,4.8
"Uttarakhand","Champawat",32.5,43.1,3.3,1.9,14.6,15.3,0.2,75.9,1.7
"Uttarakhand","Haridwar",43.8,63.1,2.6,2.3,15.9,27,0.4,73.9,3.8
"Uttarakhand","Nainital",34.5,59.8,4.6,2,12.7,14.8,0.4,80.3,3.8
"Uttarakhand","Pithoragarh",25.5,36.2,3.5,3.7,11.5,20.6,0.3,79.7,0.5
"Uttarakhand","Rudra Prayag",40.6,52.4,5.7,1.8,8.8,10.9,0.2,73,0.4
"Uttarakhand","Tehri Garhwal",42.2,61.7,3.7,1.7,12.7,20.7,0.2,62.2,1.1
"Uttarakhand","Udam Singh Nagar",51,60.8,5.3,5.2,14.1,22,0.4,70.5,1.7
"Uttarakhand","Uttar Kashi",60.9,73.6,4.5,4.8,12.9,23.5,0.5,69,1.9
"West Bengal","Bankura",77,67.1,8.1,16,28,38.8,0.6,68.7,19.8
"West Bengal","Birbhum",77.7,76.5,8.7,25,20.5,41.8,1.7,73.6,24.7
"West Bengal","Coochbehar",74.8,66.4,8.3,27.3,18.1,22.5,0.3,75.7,24
"West Bengal","Dakshin Dinajpur",82,72.5,10.5,18.2,14.9,30.2,2.3,77.7,17.6
"West Bengal","Darjeeling",59.2,68.1,7,6.3,11.8,31.6,5.8,78.3,19.5
"West Bengal","Hooghly",75.1,67.9,8.8,13.2,14.1,33.4,1.5,81,13.6
"West Bengal","Howrah",65.3,67.7,9.5,9.4,10.3,27.3,0.7,82,23.8
"West Bengal","Jalpaiguri",71.4,67.4,7.9,11.8,15.8,25.4,2.8,73.7,20.2
"West Bengal","Kolkata",58.2,72.3,10.6,4.9,6.6,32.9,1,87.2,22.4
"West Bengal","Malda",73.6,71,8,18.9,15.7,35.3,0.3,71.3,19.2
"West Bengal","Murshidabad",77.6,72.1,8.9,20.6,19.9,32.4,0.9,74.7,14.5
"West Bengal","Nadia",73.4,63.6,11.1,15.1,8.3,25.1,0.4,77.6,10.5
"West Bengal","North 24 Parganas",65.3,57.9,9.7,11.5,6.5,23.6,0.4,82.4,24.3
"West Bengal","Paschim Bardhaman",65.8,74.7,8.5,15.4,18.4,41,0.8,74.8,13.4
"West Bengal","Paschim Medinipur",81.5,66,9.3,25,18.9,40,1.5,72.1,18
"West Bengal","Purba Bardhaman",77.9,71.5,8.1,21.9,16.3,31.6,1.2,71.2,15.9
"West Bengal","Purba Medinipur",70.4,67.5,8.8,22,16.5,30.6,2,83,26.2
"West Bengal","Purulia",76.7,77.9,10.1,12,33.7,46.3,1.1,63.6,6.7
"West Bengal","South 24 Parganas",61.6,70.4,7.2,13.1,9.9,32.2,0.4,80.9,34.8
"West Bengal","Uttar Dinajpur",72.4,77.2,8,12.7,16.5,32,1.7,68.1,20.7
